number,time_in_system_days
30949,2.0148148148148146
30948,2.235208333333333
30947,0.949699074074074
30945,11.287337962962964
30943,8.269305555555556
30942,0.9605439814814816
30940,0.2789351851851852
30939,0.045162037037037
30937,4.693842592592593
30935,3.0615972222222223
30934,1.672048611111111
30932,0.0624074074074074
30930,3.2745023148148147
30929,12.264444444444443
30928,29.03878472222222
30926,1.5338541666666667
30925,6.993171296296296
30923,14.33476851851852
30919,0.384699074074074
30917,0.5025
30916,0.5137615740740741
30915,3.746215277777778
30913,0.0286574074074074
30912,31.65951388888889
30909,3.2476967592592594
30908,9.649444444444445
30907,19.31533564814815
30906,0.3850694444444444
30905,4.623634259259259
30903,68.0754861111111
30902,9.759131944444444
30901,0.0908796296296296
30900,2.774837962962963
30899,6.011469907407408
30898,6.037337962962963
30897,0.2469675925925926
30895,6.112094907407408
30893,0.2600578703703703
30891,25.97020833333333
30890,0.1245601851851851
30888,2.886712962962963
30885,10.149583333333334
30883,0.2235069444444444
30882,10.18849537037037
30878,0.2572800925925926
30877,3.6756828703703706
30876,10.792222222222222
30875,0.0670254629629629
30874,10.704236111111111
30865,0.0196180555555555
30864,0.950787037037037
30862,14.35275462962963
30861,0.0333217592592592
30860,18.269861111111112
30858,187.09207175925928
30856,11.226770833333331
30855,0.0258564814814814
30854,14.451712962962963
30852,140.03793981481482
30847,34.106574074074075
30842,0.3736226851851852
30840,0.0328819444444444
30839,0.5828587962962963
30838,0.6073842592592592
30836,0.3011805555555555
30835,0.0343287037037037
30833,0.6061458333333334
30832,0.059849537037037
30831,0.0627314814814814
30829,0.0274074074074074
30828,0.0250231481481481
30827,0.0292129629629629
30826,0.1815393518518518
30825,0.0747453703703703
30824,0.8961226851851852
30822,0.0799768518518518
30821,0.8490625
30820,0.1243055555555555
30819,0.3033333333333333
30817,0.3303819444444444
30816,0.1477777777777777
30814,6.7772800925925925
30813,0.097349537037037
30812,0.8573611111111111
30810,0.2618518518518518
30809,0.4256828703703704
30807,0.4745833333333333
30806,1.0653125
30805,0.5015393518518518
30803,0.0804282407407407
30802,0.0506828703703703
30801,0.1377893518518518
30800,0.5390856481481482
30799,1.5518171296296297
30798,0.6658912037037037
30797,0.046724537037037
30795,0.0892939814814814
30792,0.3870023148148148
30791,0.1488425925925925
30789,1.3975925925925925
30788,0.0818402777777777
30786,0.1763541666666666
30784,19.86435185185185
30782,0.1228356481481481
30781,2.079502314814815
30779,0.3631712962962963
30775,0.0481134259259259
30774,0.1187962962962963
30771,0.6020138888888888
30769,0.7463310185185185
30768,0.2897569444444444
30767,0.0747222222222222
30766,92.7411226851852
30765,1.7970023148148149
30764,0.0470949074074074
30763,1.6061458333333334
30762,0.0412268518518518
30761,5.662152777777778
30760,0.0471064814814814
30759,0.0884606481481481
30757,2.6610185185185187
30756,0.045
30755,76.54884259259259
30754,0.1103819444444444
30752,0.0281018518518518
30751,0.2073263888888888
30749,0.0257523148148148
30747,0.0731828703703703
30746,9.35329861111111
30745,0.2994444444444444
30743,36.2800462962963
30734,10.305775462962965
30725,0.1245601851851851
30724,0.4411458333333333
30723,0.4862152777777778
30722,0.6859837962962962
30721,0.6823032407407408
30720,0.5146875
